session_id,device,channel,viewed_product,added_to_cart,reached_checkout,completed_purchase
SESS_00001,Desktop,Organic Search,1,0,0,0
SESS_00002,Tablet,Organic Search,1,1,1,1
SESS_00003,Mobile,Direct,1,0,0,0
SESS_00004,Mobile,Paid Ads,1,1,1,0
SESS_00005,Desktop,Organic Search,1,0,0,0
SESS_00006,Desktop,Social Media,1,0,0,0
SESS_00007,Desktop,Direct,0,0,0,0
SESS_00008,Mobile,Paid Ads,1,1,1,1
SESS_00009,Mobile,Paid Ads,1,0,0,0
SESS_00010,Mobile,Paid Ads,1,1,1,1
SESS_00011,Desktop,Social Media,1,1,1,1
SESS_00012,Tablet,Paid Ads,1,0,0,0
SESS_00013,Mobile,Social Media,1,0,0,0
SESS_00014,Desktop,Organic Search,1,0,0,0
SESS_00015,Desktop,Organic Search,1,1,1,1
SESS_00016,Desktop,Direct,0,0,0,0
SESS_00017,Desktop,Direct,1,1,1,1
SESS_00018,Mobile,Direct,0,0,0,0
SESS_00019,Desktop,Direct,1,0,0,0
SESS_00020,Desktop,Organic Search,1,1,1,1
SESS_00021,Mobile,Direct,1,0,0,0
SESS_00022,Desktop,Direct,1,1,1,1
SESS_00023,Desktop,Social Media,1,1,1,1
SESS_00024,Desktop,Direct,1,0,0,0
SESS_00025,Desktop,Paid Ads,1,0,0,0
SESS_00026,Mobile,Direct,1,1,0,0
SESS_00027,Desktop,Social Media,1,1,1,1
SESS_00028,Mobile,Social Media,1,0,0,0
SESS_00029,Mobile,Paid Ads,1,1,0,0
SESS_00030,Desktop,Paid Ads,1,1,0,0
SESS_00031,Mobile,Direct,1,0,0,0
SESS_00032,Desktop,Social Media,1,1,1,0
SESS_00033,Desktop,Social Media,1,0,0,0
SESS_00034,Tablet,Social Media,1,0,0,0
SESS_00035,Tablet,Paid Ads,1,0,0,0
SESS_00036,Mobile,Organic Search,1,1,0,0
SESS_00037,Desktop,Social Media,1,0,0,0
SESS_00038,Desktop,Organic Search,1,1,1,1
SESS_00039,Mobile,Organic Search,0,0,0,0
SESS_00040,Desktop,Direct,1,1,1,1
SESS_00041,Desktop,Social Media,1,1,1,1
SESS_00042,Desktop,Direct,1,1,0,0
SESS_00043,Desktop,Direct,1,0,0,0
SESS_00044,Tablet,Organic Search,1,1,1,1
SESS_00045,Desktop,Paid Ads,1,1,0,0
SESS_00046,Mobile,Paid Ads,0,0,0,0
SESS_00047,Desktop,Direct,1,1,0,0
SESS_00048,Mobile,Direct,1,0,0,0
SESS_00049,Mobile,Paid Ads,1,0,0,0
SESS_00050,Desktop,Social Media,0,0,0,0
SESS_00051,Tablet,Paid Ads,1,1,1,0
SESS_00052,Mobile,Organic Search,1,0,0,0
SESS_00053,Tablet,Social Media,1,0,0,0
SESS_00054,Mobile,Organic Search,1,0,0,0
SESS_00055,Mobile,Organic Search,1,1,1,1
SESS_00056,Tablet,Organic Search,0,0,0,0
SESS_00057,Desktop,Organic Search,1,0,0,0
SESS_00058,Desktop,Paid Ads,1,1,1,0
SESS_00059,Desktop,Organic Search,0,0,0,0
SESS_00060,Desktop,Organic Search,1,0,0,0
SESS_00061,Desktop,Organic Search,1,0,0,0
SESS_00062,Desktop,Direct,1,1,1,1
SESS_00063,Mobile,Organic Search,1,0,0,0
SESS_00064,Desktop,Direct,1,1,1,0
SESS_00065,Desktop,Direct,0,0,0,0
SESS_00066,Mobile,Paid Ads,1,1,0,0
SESS_00067,Desktop,Paid Ads,1,1,1,1
SESS_00068,Mobile,Paid Ads,1,1,0,0
SESS_00069,Desktop,Organic Search,1,0,0,0
SESS_00070,Tablet,Social Media,1,0,0,0
SESS_00071,Mobile,Social Media,1,1,0,0
SESS_00072,Desktop,Paid Ads,1,1,1,0
SESS_00073,Desktop,Paid Ads,1,1,1,1
SESS_00074,Mobile,Organic Search,1,0,0,0
SESS_00075,Mobile,Social Media,1,1,0,0
SESS_00076,Mobile,Organic Search,1,1,0,0
SESS_00077,Mobile,Direct,1,0,0,0
SESS_00078,Desktop,Organic Search,1,1,0,0
SESS_00079,Desktop,Direct,1,1,0,0
SESS_00080,Desktop,Social Media,1,1,1,1
SESS_00081,Mobile,Organic Search,1,0,0,0
SESS_00082,Mobile,Organic Search,1,0,0,0
SESS_00083,Desktop,Paid Ads,1,0,0,0
SESS_00084,Desktop,Organic Search,1,1,1,1
SESS_00085,Desktop,Direct,1,0,0,0
SESS_00086,Desktop,Paid Ads,1,1,1,1
SESS_00087,Mobile,Paid Ads,1,0,0,0
SESS_00088,Mobile,Organic Search,1,0,0,0
SESS_00089,Mobile,Paid Ads,1,0,0,0
SESS_00090,Desktop,Direct,1,1,0,0
SESS_00091,Desktop,Direct,1,0,0,0
SESS_00092,Mobile,Direct,1,0,0,0
SESS_00093,Mobile,Organic Search,1,1,0,0
SESS_00094,Mobile,Paid Ads,1,0,0,0
SESS_00095,Mobile,Paid Ads,1,0,0,0
SESS_00096,Desktop,Organic Search,1,0,0,0
SESS_00097,Mobile,Organic Search,1,0,0,0
SESS_00098,Desktop,Paid Ads,1,1,1,1
SESS_00099,Desktop,Direct,0,0,0,0
SESS_00100,Desktop,Direct,1,0,0,0
SESS_00101,Desktop,Social Media,0,0,0,0
SESS_00102,Mobile,Paid Ads,1,1,1,1
SESS_00103,Desktop,Social Media,1,1,0,0
SESS_00104,Mobile,Organic Search,1,1,1,1
SESS_00105,Tablet,Paid Ads,1,0,0,0
SESS_00106,Desktop,Direct,1,1,1,1
SESS_00107,Desktop,Organic Search,0,0,0,0
SESS_00108,Mobile,Organic Search,1,1,0,0
SESS_00109,Desktop,Organic Search,1,1,1,1
SESS_00110,Desktop,Direct,1,1,1,1
SESS_00111,Desktop,Organic Search,0,0,0,0
SESS_00112,Desktop,Direct,1,1,1,1
SESS_00113,Tablet,Paid Ads,1,0,0,0
SESS_00114,Mobile,Organic Search,1,1,0,0
SESS_00115,Mobile,Direct,1,0,0,0
SESS_00116,Mobile,Direct,1,1,1,1
SESS_00117,Mobile,Direct,1,1,0,0
SESS_00118,Desktop,Paid Ads,1,1,1,1
SESS_00119,Mobile,Direct,1,1,0,0
SESS_00120,Mobile,Paid Ads,1,1,1,1
SESS_00121,Mobile,Direct,1,1,0,0
SESS_00122,Mobile,Direct,0,0,0,0
SESS_00123,Desktop,Social Media,0,0,0,0
SESS_00124,Desktop,Paid Ads,1,1,1,0
SESS_00125,Desktop,Direct,1,0,0,0
SESS_00126,Desktop,Paid Ads,1,0,0,0
SESS_00127,Mobile,Organic Search,1,0,0,0
SESS_00128,Mobile,Paid Ads,1,1,1,0
SESS_00129,Desktop,Paid Ads,1,0,0,0
SESS_00130,Mobile,Paid Ads,1,1,0,0
SESS_00131,Desktop,Social Media,1,1,1,0
SESS_00132,Desktop,Direct,1,1,0,0
SESS_00133,Desktop,Paid Ads,1,0,0,0
SESS_00134,Desktop,Organic Search,1,1,0,0
SESS_00135,Tablet,Direct,1,0,0,0
SESS_00136,Desktop,Direct,1,1,0,0
SESS_00137,Mobile,Direct,1,0,0,0
SESS_00138,Mobile,Paid Ads,1,0,0,0
SESS_00139,Desktop,Organic Search,1,0,0,0
SESS_00140,Tablet,Organic Search,1,1,1,1
SESS_00141,Tablet,Direct,1,0,0,0
SESS_00142,Desktop,Organic Search,1,0,0,0
SESS_00143,Desktop,Social Media,1,1,1,1
SESS_00144,Desktop,Organic Search,1,1,1,1
SESS_00145,Desktop,Paid Ads,1,0,0,0
SESS_00146,Desktop,Paid Ads,1,1,0,0
SESS_00147,Mobile,Paid Ads,0,0,0,0
SESS_00148,Mobile,Organic Search,1,1,0,0
SESS_00149,Desktop,Social Media,1,0,0,0
SESS_00150,Desktop,Organic Search,0,0,0,0
SESS_00151,Tablet,Social Media,1,1,1,0
SESS_00152,Desktop,Direct,1,1,0,0
SESS_00153,Desktop,Organic Search,1,0,0,0
SESS_00154,Desktop,Direct,1,1,0,0
SESS_00155,Tablet,Paid Ads,1,0,0,0
SESS_00156,Desktop,Organic Search,1,0,0,0
SESS_00157,Mobile,Direct,1,1,0,0
SESS_00158,Mobile,Direct,1,1,0,0
SESS_00159,Desktop,Social Media,1,1,0,0
SESS_00160,Mobile,Paid Ads,1,1,0,0
SESS_00161,Desktop,Organic Search,1,1,1,1
SESS_00162,Mobile,Paid Ads,0,0,0,0
SESS_00163,Mobile,Organic Search,1,0,0,0
SESS_00164,Mobile,Organic Search,1,1,0,0
SESS_00165,Desktop,Social Media,1,0,0,0
SESS_00166,Mobile,Direct,1,0,0,0
SESS_00167,Desktop,Organic Search,1,0,0,0
SESS_00168,Desktop,Organic Search,1,0,0,0
SESS_00169,Desktop,Organic Search,1,0,0,0
SESS_00170,Mobile,Organic Search,1,1,1,1
SESS_00171,Mobile,Organic Search,0,0,0,0
SESS_00172,Desktop,Direct,1,0,0,0
SESS_00173,Mobile,Organic Search,1,1,0,0
SESS_00174,Desktop,Direct,1,1,0,0
SESS_00175,Mobile,Direct,1,1,0,0
SESS_00176,Desktop,Direct,1,1,0,0
SESS_00177,Mobile,Paid Ads,0,0,0,0
SESS_00178,Desktop,Organic Search,1,0,0,0
SESS_00179,Tablet,Paid Ads,1,0,0,0
SESS_00180,Desktop,Paid Ads,1,1,1,1
SESS_00181,Desktop,Paid Ads,0,0,0,0
SESS_00182,Desktop,Organic Search,1,0,0,0
SESS_00183,Tablet,Organic Search,0,0,0,0
SESS_00184,Mobile,Organic Search,0,0,0,0
SESS_00185,Desktop,Paid Ads,1,0,0,0
SESS_00186,Mobile,Organic Search,1,1,0,0
SESS_00187,Mobile,Paid Ads,1,1,1,0
SESS_00188,Mobile,Social Media,1,1,0,0
SESS_00189,Mobile,Direct,1,0,0,0
SESS_00190,Desktop,Direct,1,0,0,0
SESS_00191,Desktop,Paid Ads,1,1,0,0
SESS_00192,Mobile,Organic Search,1,1,1,1
SESS_00193,Tablet,Direct,1,0,0,0
SESS_00194,Mobile,Social Media,1,0,0,0
SESS_00195,Desktop,Direct,1,0,0,0
SESS_00196,Desktop,Social Media,1,0,0,0
SESS_00197,Mobile,Paid Ads,1,0,0,0
SESS_00198,Mobile,Paid Ads,1,0,0,0
SESS_00199,Mobile,Direct,1,0,0,0
SESS_00200,Mobile,Direct,0,0,0,0
SESS_00201,Mobile,Organic Search,1,0,0,0
SESS_00202,Desktop,Direct,1,1,1,1
SESS_00203,Desktop,Organic Search,1,0,0,0
SESS_00204,Mobile,Organic Search,1,0,0,0
SESS_00205,Mobile,Direct,0,0,0,0
SESS_00206,Desktop,Direct,1,1,1,1
SESS_00207,Desktop,Paid Ads,1,0,0,0
SESS_00208,Mobile,Direct,1,0,0,0
SESS_00209,Desktop,Direct,1,1,0,0
SESS_00210,Desktop,Paid Ads,1,0,0,0
SESS_00211,Mobile,Social Media,1,0,0,0
SESS_00212,Mobile,Organic Search,1,1,1,0
SESS_00213,Mobile,Direct,1,1,0,0
SESS_00214,Desktop,Organic Search,1,0,0,0
SESS_00215,Mobile,Social Media,1,0,0,0
SESS_00216,Desktop,Paid Ads,1,1,1,0
SESS_00217,Desktop,Paid Ads,1,1,1,1
SESS_00218,Mobile,Organic Search,1,1,0,0
SESS_00219,Mobile,Organic Search,1,1,0,0
SESS_00220,Mobile,Direct,0,0,0,0
SESS_00221,Mobile,Paid Ads,1,0,0,0
SESS_00222,Mobile,Paid Ads,0,0,0,0
SESS_00223,Desktop,Social Media,1,0,0,0
SESS_00224,Desktop,Organic Search,1,1,1,1
SESS_00225,Desktop,Direct,1,1,0,0
SESS_00226,Desktop,Organic Search,1,1,0,0
SESS_00227,Tablet,Paid Ads,1,0,0,0
SESS_00228,Desktop,Paid Ads,1,0,0,0
SESS_00229,Mobile,Direct,1,0,0,0
SESS_00230,Mobile,Organic Search,0,0,0,0
SESS_00231,Mobile,Organic Search,1,0,0,0
SESS_00232,Mobile,Organic Search,1,0,0,0
SESS_00233,Mobile,Social Media,1,0,0,0
SESS_00234,Desktop,Organic Search,1,0,0,0
SESS_00235,Desktop,Paid Ads,1,0,0,0
SESS_00236,Mobile,Organic Search,1,1,0,0
SESS_00237,Desktop,Paid Ads,1,0,0,0
SESS_00238,Desktop,Organic Search,0,0,0,0
SESS_00239,Mobile,Paid Ads,1,1,0,0
SESS_00240,Desktop,Organic Search,1,1,1,1
SESS_00241,Tablet,Organic Search,1,0,0,0
SESS_00242,Tablet,Direct,1,1,1,1
SESS_00243,Tablet,Organic Search,0,0,0,0
SESS_00244,Desktop,Organic Search,1,0,0,0
SESS_00245,Desktop,Organic Search,1,0,0,0
SESS_00246,Tablet,Social Media,1,0,0,0
SESS_00247,Desktop,Direct,1,0,0,0
SESS_00248,Tablet,Paid Ads,1,1,1,1
SESS_00249,Tablet,Social Media,1,1,0,0
SESS_00250,Mobile,Direct,1,0,0,0
SESS_00251,Desktop,Paid Ads,1,1,0,0
SESS_00252,Desktop,Organic Search,1,1,1,1
SESS_00253,Mobile,Direct,1,0,0,0
SESS_00254,Desktop,Organic Search,1,0,0,0
SESS_00255,Desktop,Social Media,1,0,0,0
SESS_00256,Mobile,Direct,1,0,0,0
SESS_00257,Tablet,Organic Search,1,0,0,0
SESS_00258,Mobile,Organic Search,0,0,0,0
SESS_00259,Mobile,Social Media,1,1,1,1
SESS_00260,Desktop,Direct,1,0,0,0
SESS_00261,Mobile,Paid Ads,1,1,1,1
SESS_00262,Tablet,Paid Ads,0,0,0,0
SESS_00263,Desktop,Paid Ads,1,0,0,0
